962,1
1081,2
1440,1
306,1
6516,1
79,1
6663,1
4692,1
6,2
504,1
1631,2
21,2
866,1
1423,1
1326,1
76,1
4644,2
317,1
1762,2
6832,2
1204,1
2427,1
449,2
1495,1
6876,1
5132,2
7061,2
142,2
6408,2
7104,1
7010,1
1632,2
5622,1
968,1
615,1
503,1
4397,2
5995,1
1007,1
7116,1
1036,1
121,2
2818,1
1114,1
967,1
1002,1
7353,2
1931,2
6238,1
4403,1
986,1
7387,2
3088,2
214,1
1004,2
6965,1
7421,1
4450,1
695,2
33,2
5168,2
848,1
2426,2
4338,1
7440,1
6868,1
6490,1
2167,1
7025,1
6828,1
1327,1
6574,1
1853,1
2572,1
970,1
201,2
156,2
77,2
767,1
1271,1
6407,1
327,1
940,1
419,1
1323,1
2603,1
173,1
2712,1
2714,1
2482,1
1236,1
2716,1
2717,1
3695,1
2719,1
2721,1
1550,1
3549,1
5,1
494,1
1801,1
2641,1
1144,1
2726,1
1848,1
747,1
730,1
2727,1
513,1
2433,1
2728,1
1460,1
3038,1
548,1
523,1
2114,1
1827,2
2711,1
937,1
6696,1
6748,1
690,1
42,1
6448,1
188,1
2710,2
739,1
233,1
1534,1
462,1
2589,1
3076,2
980,1
984,1
979,1
4825,2
977,2
1008,1
975,1
278,1
965,1
963,1
6445,1
983,1
3935,1
5297,1
337,1
988,1
814,1
1009,1
601,1
1021,1
2612,1
6889,1
84,1
991,1
177,1
270,2
978,1
1322,2
1029,2
318,1
1324,1
1325,2
120,1
942,1
976,1
411,1
1867,1
6584,2
7102,1
5063,1
4689,1
5608,2
6930,2
6892,1
5938,1
146,1
43,1
512,2
283,1
371,1
447,2
466,2
473,1
348,1
622,1
125,1
870,1
61,1
1225,2
167,1
609,2
6802,2
1452,1
825,2
1226,2
1303,2
1725,1
1504,1
1559,1
369,2
1824,1
105,1
312,2
1766,1
2279,2
2284,1
2320,1
332,1
575,1
819,2
2452,1
2464,2
2471,2
2480,2
2492,1
181,1
2561,2
2575,1
2164,2
902,2
2586,1
6188,2
2535,1
673,2
2568,1
2898,1
239,1
180,1
3824,1
2025,2
3432,1
665,1
6637,2
255,1
2006,1
422,1
2292,1
6563,1
400,2
933,2
1136,2
727,1
1034,1
209,1
6245,1
2488,1
1786,1
6844,2
1626,1
7161,2
6067,2
6991,1
1455,1
600,2
6737,1
1373,2
1897,1
793,1
1581,2
6454,1
264,2
343,1
7001,1
2319,1
252,1
1159,1
2285,1
2854,1
890,1
1969,1
2031,2
2051,1
1191,1
2469,1
377,1
1719,2
6617,1
5028,1
4638,1
5663,2
3219,1
3444,1
922,1
2501,2
764,1
219,1
1570,1
269,1
1973,1
502,1
891,1
2011,1
259,1
530,2
636,1
680,1
415,1
847,1
230,1
997,2
2331,1
1377,2
1378,1
364,2
387,2
1738,2
1748,2
1769,2
323,1
1778,1
1788,1
372,1
1956,1
194,1
805,1
1248,1
1094,2
88,1
203,2
784,1
803,1
1350,1
1186,1
331,2
2009,2
3584,1
261,1
6732,2
2194,1
597,1
2407,2
1120,1
1774,2
31,1
1589,1
2454,1
2420,2
3015,2
1798,2
854,2
2942,2
441,1
91,1
1915,1
2349,1
3232,1
3237,1
